	RS.v 	RS.u	RS.I	CH.v	CH.u	CH.I	IB.v	IB.u	IB.I	FS.v	FS.u	FS.I	LTS.v	LTS.u	LTS.I
1	-63.0722	-13	6.85558	-65.5686	-13	1.86281	-69.0155	-13	-5.03098	-66.4293	-12.1532	0.988159	-64.7589	-16.25	0.232131
2	-62.0483	-13	5.28477	-69.8966	-13	-5.78272	-72.3122	-13	-5.04156	-67.6429	-12.1532	1.05196	-64.7537	-16.25	-0.193665
3	-62.7493	-12.9882	1.83975	-66.4917	-13.0196	7.87146	-69.4023	-13.0292	5.21865	-69.7881	-12.2026	-1.25155	-62.0468	-16.2503	5.21056
4	-64.6943	-12.9882	-0.630664	-71.2932	-13.0196	-7.00989	-72.2183	-13.0292	-4.3169	-69.9156	-12.2026	1.6677	-63.3277	-16.2503	-2.57015
5	-63.7593	-12.9872	4.93925	-65.2355	-13.0444	12.253	-74.7647	-13.0575	-5.64978	-71.0193	-12.2896	-0.359646	-63.5917	-16.2523	-0.555759
6	-64.2006	-12.9872	2.31665	-67.7767	-13.0444	-2.17623	-77.033	-13.0575	-7.361	-71.5704	-12.2896	-0.0449021	-66.0585	-16.2523	-4.98367
7	-66.8357	-12.9843	-2.12303	-68.7719	-13.0546	0.101643	-72.5668	-13.1045	3.67644	-70.2591	-12.3988	3.29201	-65.7274	-16.2511	0.153389
8	-68.3359	-12.9843	-0.486589	-69.666	-13.0546	-0.166269	-72.5707	-13.1045	-0.915807	-70.3095	-12.3988	1.34237	-66.1268	-16.2511	-1.21657
9	-69.8439	-12.9979	-1.1125	-73.6781	-13.0722	-6.88296	-73.7878	-13.1327	-3.34555	-72.8049	-12.4735	-3.57915	-66.5274	-16.2497	-1.32833
10	-67.6728	-12.9979	5.43687	-72.4666	-13.0722	0.602917	-72.6513	-13.1327	0.293689	-73.7248	-12.4735	-2.31091	-67.0189	-16.2497	-1.63145
11	-68.9611	-13.0087	-0.394834	-70.6994	-13.1006	2.73888	-72.0341	-13.1607	0.229719	-72.576	-12.6046	1.03416	-66.5224	-16.2472	0.17647
12	-71.0481	-13.0087	-2.60243	-72.4008	-13.1006	-2.94249	-68.3776	-13.1607	6.76637	-74.1735	-12.6046	-3.6106	-66.2375	-16.2472	-0.0746012
13	-71.1057	-13.0327	0.203255	-70.3134	-13.1282	3.40308	-65.9614	-13.171	6.53992	-72.8731	-12.731	0.795253	-65.3366	-16.2457	1.24578
14	-73.5024	-13.0327	-4.53837	-69.4535	-13.1282	2.39962	-67.5963	-13.171	-0.670011	-70.7944	-12.731	3.37239	-64.5042	-16.2457	1.34717
15	-71.5618	-13.066	2.2564	-69.753	-13.1434	0.588825	-70.3172	-13.1779	-3.40161	-71.6836	-12.7816	-1.01133	-65.6063	-16.2463	-2.36052
16	-74.9956	-13.066	-6.96833	-75.0124	-13.1434	-9.51638	-71.4874	-13.1779	-1.71279	-73.0712	-12.7816	-2.68015	-65.7537	-16.2463	-0.677147
17	-73.9412	-13.1047	-0.952766	-75.4352	-13.1806	-4.00153	-69.0854	-13.2003	4.64516	-73.3714	-12.8696	-1.60202	-65.3697	-16.2454	0.348369
18	-71.1508	-13.1047	3.49008	-74.4728	-13.1806	-1.69846	-72.1824	-13.2003	-4.87898	-74.0804	-12.8696	-2.76512	-63.6329	-16.2454	3.14873
19	-67.6945	-13.1272	7.06451	-75.7028	-13.2149	-5.12456	-72.1997	-13.225	-0.73496	-72.9948	-12.9678	0.187343	-63.4461	-16.247	0.327064
20	-67.3055	-13.1272	2.82147	-68.0059	-13.2149	11.4564	-68.9012	-13.225	5.85862	-70.2696	-12.9678	4.3269	-63.6084	-16.247	-0.357427
21	-66.7878	-13.1339	3.23438	-64.5865	-13.2226	8.6612	-71.1914	-13.2361	-3.19452	-71.574	-12.9848	-1.74109	-62.7589	-16.2487	1.65271
22	-70.8058	-13.1339	-5.65517	-63.6461	-13.2226	4.73413	-73.4052	-13.2361	-4.4354	-72.1165	-12.9848	-1.11341	-62.3444	-16.2487	0.827705
23	-67.7136	-13.1544	6.54097	-67.9438	-13.2127	-5.62063	-70.1829	-13.265	4.70161	-71.8717	-13.0347	0.0557813	-61.4096	-16.2519	1.86997
24	-68.2296	-13.1544	0.976379	-65.7113	-13.2127	6.31688	-71.5793	-13.265	-2.16902	-70.2062	-13.0347	3.03306	-63.1167	-16.2519	-3.46367
25	-72.6198	-13.1643	-6.99807	-69.4532	-13.2113	-4.85905	-72.1868	-13.2861	-1.52732	-69.0944	-13.0439	3.06353	-61.8214	-16.2542	2.57354
26	-71.4413	-13.1643	1.34637	-69.3028	-13.2113	1.40554	-71.2133	-13.2861	1.15755	-69.6141	-13.0439	0.427174	-61.3522	-16.2542	0.915658
27	-74.779	-13.1867	-6.78754	-65.7663	-13.2243	8.26066	-70.8924	-13.3052	0.568799	-69.4329	-13.0411	1.54403	-61.4855	-16.2587	-0.323517
28	-76.0488	-13.1867	-5.50729	-64.4885	-13.2243	5.1544	-69.5529	-13.3052	2.80655	-69.8641	-13.0411	0.423976	-60.9964	-16.2587	0.928373
29	-71.3913	-13.2272	5.03537	-66.4032	-13.2178	-0.961883	-70.9044	-13.3173	-1.74782	-71.3205	-13.0433	-1.87318	-60.0986	-16.2636	1.69652
30	-76.0825	-13.2272	-9.52174	-66.0899	-13.2178	3.04953	-69.6558	-13.3173	2.60447	-69.8913	-13.0433	2.95305	-59.754	-16.2636	0.444982
31	-76.9207	-13.267	-6.03298	-70.8617	-13.2178	-7.02696	-69.3943	-13.3296	1.40749	-69.9882	-13.0457	0.827675	-59.1496	-16.2701	0.893436
32	-75.3823	-13.267	-2.25844	-68.222	-13.2178	5.51497	-72.5511	-13.3296	-5.2944	-71.7841	-13.0457	-2.63038	-59.635	-16.2701	-1.43974
33	-73.5501	-13.3032	0.00929375	-67.1883	-13.2263	3.78999	-70.8041	-13.3532	2.37351	-70.0627	-13.0833	3.19928	-59.7933	-16.2767	-0.665119
34	-71.6519	-13.3032	1.85906	-69.4637	-13.2263	-2.40641	-69.4622	-13.3532	2.82216	-70.6824	-13.0833	-0.360428	-60.4314	-16.2767	-1.59596
35	-74.8033	-13.3237	-6.70625	-73.0203	-13.2396	-6.02926	-71.0834	-13.364	-2.2844	-69.9921	-13.0966	1.86924	-62.0296	-16.2824	-3.39434
36	-73.3263	-13.3237	-0.17461	-76.6527	-13.2396	-8.68143	-68.6975	-13.364	4.71085	-71.855	-13.0966	-2.81764	-62.7574	-16.2824	-1.49682
37	-71.7493	-13.3505	1.39189	-74.0932	-13.2815	0.11741	-68.0847	-13.3715	2.57532	-73.4454	-13.1304	-3.52801	-61.993	-16.2853	1.49388
38	-74.3561	-13.3505	-5.73601	-74.4324	-13.2815	-3.08605	-68.2306	-13.3715	1.33914	-74.8635	-13.1304	-4.50871	-62.0945	-16.2853	-0.248632
39	-73.1184	-13.381	-0.247837	-75.7738	-13.3136	-5.40945	-72.1546	-13.377	-6.28314	-74.8323	-13.2171	-2.93211	-60.3594	-16.289	3.42831
40	-71.1756	-13.381	2.24464	-73.8879	-13.3136	-0.339535	-72.3214	-13.377	-1.18905	-73.4916	-13.2171	-0.369183	-60.2254	-16.289	0.0456494
41	-65.1781	-13.398	11.8533	-73.5641	-13.3428	-1.60344	-68.4823	-13.3987	6.69292	-72.4991	-13.2695	0.185386	-59.1501	-16.295	1.9047
42	-64.5862	-13.398	3.74897	-72.0725	-13.3428	0.993732	-62.5164	-13.3987	13.3515	-72.7825	-13.2695	-1.58552	-59.5428	-16.295	-1.27938
43	-66.9861	-13.3884	-2.12191	-69.0091	-13.3643	5.36877	-65.6369	-13.3808	-3.38976	-72.8871	-13.3034	-1.45791	-59.43	-16.3019	-0.169215
44	-71.9815	-13.3884	-7.93429	-71.6048	-13.3643	-4.00044	-67.2301	-13.3808	-0.71091	-70.8852	-13.3034	2.63484	-59.5342	-16.3019	-0.637399
45	-71.2571	-13.4086	0.714352	-74.0133	-13.3834	-5.2472	-65.8826	-13.3821	4.66929	-69.808	-13.2984	2.28861	-59.156	-16.3088	0.352631
46	-70.6791	-13.4086	0.929988	-69.323	-13.3834	6.94494	-64.6782	-13.3821	4.81906	-70.695	-13.2984	-0.958667	-59.6219	-16.3088	-1.4379
47	-67.7872	-13.4231	5.94933	-71.2667	-13.393	-2.88288	-69.0195	-13.3732	-6.00462	-69.9134	-13.2903	1.8285	-61.8593	-16.3157	-4.8649
48	-67.9999	-13.4231	1.28318	-67.9411	-13.393	6.43386	-72.3134	-13.3732	-5.41103	-69.9804	-13.2903	0.627385	-61.1686	-16.3157	1.29926
49	-66.9985	-13.4267	3.61979	-69.8566	-13.3969	-2.15831	-75.8875	-13.395	-8.12352	-71.1161	-13.2697	-1.55013	-59.6114	-16.3207	2.97777
50	-68.0875	-13.4267	-0.164086	-65.678	-13.3969	9.04554	-75.4319	-13.395	-3.40277	-71.8294	-13.2697	-1.41571	-59.8491	-16.3207	-0.87969
51	-69.3098	-13.4305	-0.870077	-67.8837	-13.3917	-1.96231	-73.6415	-13.4288	-0.253577	-71.6585	-13.2858	-0.159453	-59.2529	-16.3273	0.840516
52	-72.1066	-13.4305	-4.62903	-71.6722	-13.3917	-5.8781	-70.6999	-13.4288	3.73904	-73.6084	-13.2858	-4.29083	-58.4082	-16.3273	1.19033
53	-68.1279	-13.4503	7.0855	-73.7194	-13.4106	-4.60133	-68.2563	-13.443	5.01898	-71.1514	-13.3335	2.94239	-57.9396	-16.3357	0.190336
54	-69.3392	-13.4503	-0.889838	-73.1986	-13.4106	-1.15396	-68.3152	-13.443	1.3638	-71.7003	-13.3335	-1.17519	-59.3018	-16.3357	-3.642
55	-72.0421	-13.4587	-4.47711	-70.0466	-13.4352	4.56514	-68.1708	-13.4474	1.74312	-72.3616	-13.3407	-1.79192	-58.8966	-16.3431	0.315522
56	-64.826	-13.4587	13.5814	-73.1149	-13.4352	-5.59996	-68.8529	-13.4474	0.152028	-71.2295	-13.3407	1.28336	-60.6765	-16.3431	-4.17226
57	-64.2203	-13.4488	3.78635	-68.6093	-13.4589	7.31906	-68.1911	-13.4539	2.51168	-71.6202	-13.3385	-0.920208	-62.0997	-16.3488	-3.07262
58	-67.4636	-13.4488	-3.80363	-71.1691	-13.4589	-3.82141	-68.6563	-13.4539	0.570202	-71.697	-13.3385	-0.569213	-61.6627	-16.3488	0.768981
59	-67.0382	-13.4497	2.66644	-73.3902	-13.4744	-4.65723	-67.7684	-13.4594	3.05596	-71.617	-13.3451	-0.31192	-62.374	-16.3534	-1.54959
60	-64.2864	-13.4497	7.48008	-76.3616	-13.4744	-7.91116	-67.1179	-13.4594	2.98127	-71.553	-13.3451	-0.29184	-62.6191	-16.3534	-0.594081
61	-63.3523	-13.4378	4.54089	-70.9054	-13.5104	6.00221	-69.7382	-13.4587	-3.30304	-71.1313	-13.3485	0.470015	-63.6635	-16.3568	-2.1927
